Micro Pollutant,MP Category,Initial Concentration of MP (mg/L),Compound MW (g/mol),Compound Charge,Log D (pH=6.5-7),pKa,Diffusivity (20 °C) ( × 10−10 m2/s),Stokes Radius/Compound size (nm),TOC (mg/L),Initial FS pH,Type of MB,FO membrane description,MB Contact Angle (°),MB Zeta Potential (mV),Draw Solution,DS MW (g mol-1),DS Concentration (M),Initial DS pH,Operating Time (h),Cross Flow Velocity (cm/s),"Water Flux, Jw (LMH)","Reverse Salt Flux, Js (gMH)",Temperature (⁰C),Removal Rate (%),Reference,Reference ID,Additional references,ID number
Atenolol,β-Blockers,0.0109,266.34,1,-2.67,9.43,,0.458,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,214
Sotalol,β-Blockers,0.0129,272.36,1,-3.03,8.28,,0.597,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,100,(Li et al. 2021),9,,215
Diatrizoic acid,X-ray contrast media,0.0489,613.92,-1,-0.46,0.92,,0.919,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,100,(Li et al. 2021),9,,216
Iohexol,X-ray contrast media,0.048,821.14,0,-1.95,11.35,,0.912,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,98,(Li et al. 2021),9,,217
Iopamidol,X-ray contrast media,0.0584,777.08,0,-0.74,10.87,,1,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,98,(Li et al. 2021),9,,218
Iopromide,X-ray contrast media,0.029,791.12,0,-0.44,10.62,,1,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,95,(Li et al. 2021),9,,219
Clarithromycin,Antibiotics,0.00929,747.95,1,0.35,8.16,,0.961,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,220
Erythromycin,Antibiotics,0.00602,733.93,1,-0.28,8.16,,1,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,91,(Li et al. 2021),9,,221
Sulfadiazine,Antibiotics,0.00921,250.28,-1,0.34,6.81,,0.626,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,100,(Li et al. 2021),9,,222
Sulfamethizole,Antibiotics,0.018,270.33,-1,0.14,2.07,,0.689,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,100,(Li et al. 2021),9,,223
Metoprolol,β-Blockers,0.00954,267.36,1,-1.34,9.43,,0.555,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,224
Tramadol,Analgesics,0.0107,263.38,1,-0.59,9.61,,0.627,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,225
Citalopram,Antidepressant,0.00667,324.29,1,0.44,9.57,,0.874,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,226
Phenazone,Nonsteroidal anti-inflammatory,0.0098,188.23,0,1.21,0.65,,0.466,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,227
Venlafaxine,Antidepressant,0.00514,277.4,1,-0.07,9.26,,0.883,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,228
Propranolol,β-Blockers,0.0101,259.34,1,-0.51,9.5,,0.612,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,98,(Li et al. 2021),9,,229
Sulfamethoxazole,Antibiotics,0.0122,253.28,-1,0.59,1.39,,0.731,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,100,(Li et al. 2021),9,,230
Trimethoprim,Antibiotics,0.0107,290.32,1,0.26,7.04,,0.57,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,100,(Li et al. 2021),9,,231
Carbamazepine,Anticonvulsant,0.0137,236.27,0,2.76,13.94,,0.449,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,99,(Li et al. 2021),9,,232
Ibuprofen,Nonsteroidal anti-inflammatory,0.0122,206.29,-1,2.66,4.41,,0.428,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,100,(Li et al. 2021),9,,233
Diclofenac,Nonsteroidal anti-inflammatory,0.00966,296.15,-1,2.26,4.18,,0.505,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,24,17.5,12,2.5,24,100,(Li et al. 2021),9,,234
Atenolol,β-Blockers,0.0109,266.34,1,-2.67,9.43,,0.335,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,100,(Li et al. 2021),9,,235
Sotalol,β-Blockers,0.0129,272.36,1,-3.03,8.28,,0.358,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,99,(Li et al. 2021),9,,236
Diatrizoic acid,X-ray contrast media,0.0489,613.92,-1,-0.46,0.92,,1.29,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,100,(Li et al. 2021),9,,237
Iohexol,X-ray contrast media,0.048,821.14,0,-1.95,11.35,,0.705,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,100,(Li et al. 2021),9,,238
Iopamidol,X-ray contrast media,0.0584,777.08,0,-0.74,10.87,,0.652,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,99,(Li et al. 2021),9,,239
Iopromide,X-ray contrast media,0.029,791.12,0,-0.44,10.62,,0.689,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,99,(Li et al. 2021),9,,240
Clarithromycin,Antibiotics,0.00929,747.95,1,0.35,8.16,,0.562,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,99,(Li et al. 2021),9,,241
Erythromycin,Antibiotics,0.00602,733.93,1,-0.28,8.16,,0.778,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,92,(Li et al. 2021),9,,242
Sulfadiazine,Antibiotics,0.00921,250.28,-1,0.34,6.81,,0.452,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,99,(Li et al. 2021),9,,243
Sulfamethizole,Antibiotics,0.018,270.33,-1,0.14,2.07,,0.458,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,100,(Li et al. 2021),9,,244
Metoprolol,β-Blockers,0.00954,267.36,1,-1.34,9.43,,0.438,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,100,(Li et al. 2021),9,,245
Tramadol,Analgesics,0.0107,263.38,1,-0.59,9.61,,0.544,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,95,(Li et al. 2021),9,,246
Citalopram,Antidepressant,0.00667,324.29,1,0.44,9.57,,0.528,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,99,(Li et al. 2021),9,,247
Phenazone,Nonsteroidal anti-inflammatory,0.0098,188.23,0,1.21,0.65,,0.416,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,99,(Li et al. 2021),9,,248
Venlafaxine,Antidepressant,0.00514,277.4,1,-0.07,9.26,,0.556,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,99,(Li et al. 2021),9,,249
Propranolol,β-Blockers,0.0101,259.34,1,-0.51,9.5,,0.441,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,100,(Li et al. 2021),9,,250
Sulfamethoxazole,Antibiotics,0.0122,253.28,-1,0.59,1.39,,0.448,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,100,(Li et al. 2021),9,,251
Trimethoprim,Antibiotics,0.0107,290.32,1,0.26,7.04,,0.441,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,99,(Li et al. 2021),9,,252
Carbamazepine,Anticonvulsant,0.0137,236.27,0,2.76,13.94,,0.478,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,100,(Li et al. 2021),9,,253
Ibuprofen,Nonsteroidal anti-inflammatory,0.0122,206.29,-1,2.66,4.41,,0.433,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,100,(Li et al. 2021),9,,254
Diclofenac,Nonsteroidal anti-inflammatory,0.00966,296.15,-1,2.26,4.18,,0.486,,7,Aquaporin FO,AQP FO hollow fiber membrane modules (Aquaporin HFFO2) were provided by Aquaporin A/S - thin film composite membrane with aquaporin proteins embedded in a polyamide active layer supported by a porous polysulfone support layer,26.4,NaN,NaCl,58.44,0.7,NaN,2.5,17.5,10,2,20,99,(Li et al. 2021),9,,255
